g188; id 	|	 body 	|	 fitness 
18830	|	Hello, World!	|	0.0
18425	|	Hello, Wosld!	|	-1.0
18524	|	Hello, Wosld!	|	-1.0
18601	|	Hello, Wosld!	|	-1.0
18643	|	Hello, Wosld!	|	-1.0
18898	|	Hello, Wosld!	|	-1.0
16892	|	Iello, Wosld!	|	-2.0
17411	|	Iello, Wosld!	|	-2.0
17418	|	Iello, Wosld!	|	-2.0
17869	|	Iello, Wosld!	|	-2.0
18077	|	Iello, Wosld!	|	-2.0
18172	|	Iello, Wosld!	|	-2.0
18293	|	Iello, Wosld!	|	-2.0
18314	|	Iello, Wosld!	|	-2.0
18347	|	Hdllo, Wosld!	|	-2.0
18352	|	Iello, Wosld!	|	-2.0
18403	|	Iello, Wosld!	|	-2.0
18456	|	Iello, Wosld!	|	-2.0
18494	|	Heklo, Wosld!	|	-2.0
18522	|	Iello, Wosld!	|	-2.0
18527	|	Hdllo, Wosld!	|	-2.0
18578	|	Iello, Wosld!	|	-2.0
18638	|	Iello, Wosld!	|	-2.0
18639	|	Hdllo, Wosld!	|	-2.0
18743	|	Iello, Wosld!	|	-2.0
18871	|	Gello, Wosld!	|	-2.0
18600	|	Hello, Vnqld!	|	-3.0
17208	|	Hello, Xnqld!	|	-3.0
17471	|	Hello, Vnqld!	|	-3.0
17484	|	Hello, Vnqld!	|	-3.0
17851	|	Hello, Vpqld!	|	-3.0
17920	|	Hello, Xnqld!	|	-3.0
18045	|	Hello, Vnqld!	|	-3.0
18046	|	Hello, Vnsld!	|	-3.0
18069	|	Hello, Xnqld!	|	-3.0
18793	|	Hello, Vpqld!	|	-3.0
15808	|	Iello, Vnqld!	|	-4.0
16452	|	Iello, Vnqld!	|	-4.0
16727	|	Iello, Vnqld!	|	-4.0
16728	|	Iello, Xnqld!	|	-4.0
16741	|	Iello, Xnqld!	|	-4.0
16804	|	Iello, Vnqld!	|	-4.0
16812	|	Iello, Xnqld!	|	-4.0
16832	|	Iello, Xnqld!	|	-4.0
16857	|	Helmo- Voqld!	|	-4.0
16872	|	Iello, Vnqld!	|	-4.0
16924	|	Iello, Vnqld!	|	-4.0
16942	|	Iello, Vnqld!	|	-4.0
17012	|	Iello- Voqld!	|	-4.0
17033	|	Iello, Vnqld!	|	-4.0
